word,frequency
fertilizer,7
clean,5
organic,5
feed,5
animal,4
compost,4
floor,3
glass,3
eco,3
enzyme,3
waste,3
dishes,2
cleaning,2
liquid,2
helps,2
environment,2
handicrafts,2
wash,1
wipe,1
surfaces,1
using,1
costeffective,1
alternative,1
compared,1
buying,1
chemicalbased,1
stores,1
supermarkets,1
removes,1
stains,1
usually,1
difficult,1
floors,1
kitchens,1
clothes,1
agent,1
house,1
furniture,1
household,1
items,1
reduce,1
amount,1
surrounding,1
preserve,1
repels,1
rats,1
serves,1
dishwashing,1
dish,1
soap,1
cleaner,1
washing,1
biogas,1
livestock,1
simple,1
fertilizers,1
