Benefits,Frequency_Benefits,Products,Frequency_Products
wash dishes clean,1,animal feed compost,2.0
dishes clean floor,1,fertilizer animal feed,2.0
clean floor wipe,1,biogas animal feed,1.0
floor wipe glass,1,feed compost fertilizer,1.0
wipe glass surfaces,1,compost fertilizer fertilizer,1.0
glass surfaces using,1,fertilizer fertilizer animal,1.0
surfaces using eco,1,animal feed handicrafts,1.0
using eco enzyme,1,feed handicrafts biogas,1.0
eco enzyme costeffective,1,handicrafts biogas fertilizer,1.0
enzyme costeffective alternative,1,biogas fertilizer organic,1.0
costeffective alternative compared,1,fertilizer organic waste,1.0
alternative compared buying,1,organic waste fertilizer,1.0
compared buying chemicalbased,1,waste fertilizer compost,1.0
buying chemicalbased cleaning,1,fertilizer compost fertilizer,1.0
chemicalbased cleaning stores,1,compost fertilizer animal,1.0
cleaning stores supermarkets,1,animal feed organic,1.0
stores supermarkets removes,1,feed organic fertilizer,1.0
supermarkets removes stains,1,organic fertilizer organic,1.0
removes stains usually,1,fertilizer organic fertilizer,1.0
stains usually difficult,1,organic fertilizer livestock,1.0
usually difficult clean,1,fertilizer livestock feed,1.0
difficult clean floors,1,livestock feed handicrafts,1.0
clean floors kitchens,1,feed handicrafts organic,1.0
floors kitchens glass,1,handicrafts organic waste,1.0
kitchens glass clothes,1,organic waste eco,1.0
glass clothes cleaning,1,waste eco enzyme,1.0
clothes cleaning agent,1,eco enzyme compost,1.0
cleaning agent clean,1,enzyme compost simple,1.0
agent clean floor,1,compost simple fertilizers,1.0
clean floor eco,1,simple fertilizers animal,1.0
floor eco enzyme,1,fertilizers animal feed,1.0
eco enzyme liquid,1,,
enzyme liquid clean,1,,
liquid clean house,1,,
clean house furniture,1,,
house furniture household,1,,
furniture household items,1,,
household items helps,1,,
items helps reduce,1,,
helps reduce amount,1,,
reduce amount organic,1,,
amount organic waste,1,,
organic waste surrounding,1,,
waste surrounding environment,1,,
surrounding environment helps,1,,
environment helps preserve,1,,
helps preserve environment,1,,
preserve environment repels,1,,
environment repels rats,1,,
repels rats serves,1,,
rats serves dishwashing,1,,
serves dishwashing liquid,1,,
dishwashing liquid dish,1,,
liquid dish soap,1,,
dish soap floor,1,,
soap floor cleaner,1,,
floor cleaner clean,1,,
cleaner clean glass,1,,
clean glass washing,1,,
glass washing dishes,1,,
